repo,tag,layer_count
azukiapp/php-apache,latest,38
azukiapp/web-based,latest,18
azukiapp/python,latest,29
azukiapp/dind,latest,14
azukiapp/libnss-resolver,ubuntu14,6
azukiapp/ruby,latest,35
azukiapp/jruby,latest,23
azul/zulu-openjdk-debian,latest,6
azul/zulu-openjdk,latest,12
azzazzel/liferay-standalone,latest,8
b7alt/drupal,latest,46
bad79s/scala,latest,14
badsanta/lamp,latest,45
bahamat/unix-1st-ed,latest,10
bahamat/authenticated-proxy,latest,8
bahmni/web,latest,31
bahmni/apache,latest,31
balabit/syslog-ng,latest,13
balloob/home-assistant-dev,latest,25
balloob/home-assistant,latest,25
balsamiq/docker-elasticsearch,latest,29
bamos/openface,latest,17
bankmonitor/spring-boot,latest,25
banno/hbase-standalone,latest,21
banno/samza-mesos,latest,14
banyanops/collector,latest,13
baptistedonaux/hhvm,latest,8
barbaracollignon/ubuntu-mininet,latest,12
barbuza/django-builder,latest,27
barnybug/elasticsearch,latest,15
bartt/pocketmine,latest,18
base/archlinux,latest,3
base/devel,latest,7
base/chef-server,latest,17
base/arch,latest,4
baselibrary/nexus,master,27
baselibrary/ruby,latest,19
bashell/alpine-rmq,latest,20
bastiaanb/docker-wso2is,latest,14
bateau/openttd,latest,16
batmat/docker-eclipse,latest,22
baxeico/django-uwsgi-nginx,latest,29
bbailey/telegraf,latest,11
bbcnews/wraith,latest,24
bbihq/nginx,latest,7
bbinet/reprepro,latest,16
bbinet/grafana2,latest,11
bbinet/salt-master,latest,22
bbinet/saltpad,latest,14
bbinet/grafana,latest,11
bbinet/heka,latest,8
bbinet/salt-minion,latest,14
bboehmke/pebble-dev,latest,16
bbytes/tomcat7,latest,51
bbytes/orientdb,latest,38
bcbcarl/archlinux,latest,2
bcbcarl/ihaskell,latest,6
bcleonard/calibre-cops,latest,24
bconn/labkey-standalone,latest,39
bde2020/spark-worker,latest,23
bde2020/spark-master,latest,23
bde2020/spark-base,latest,16
bdehamer/docker-librato,latest,21
beakernotebook/beaker,latest,36
beakernotebook/beaker-prerelease,latest,32
beck/rpi-webcam,latest,11
beevelop/android,latest,9
beh01der/logstash-es-kibana,latest,14
behance/fake-sqs,latest,18
benb88/vim_in_docker,latest,13
benhall/docker-mono,latest,11
beniyama/sparkr-docker,latest,40
benhutchins/taiga,latest,56
beniz/deepdetect_cpu,latest,28
beniz/deepdetect_gpu,latest,47
benmcclelland/orcm-centos,latest,22
bennetimo/ghost-backup,latest,21
benweet/stackedit,latest,19
benyee/ruby,2,25
benyoo/shadowsocksr_manyuser,latest,13
berngp/docker-zabbix,latest,39
besn0847/ubuntu32,latest,2
besn0847/hdfs,latest,30
bestlibre/rpi-nginx-proxy,dev,16
betashepherd/docker-swoole,1,17
bettervoice/postgresql-container,9,18
bettervoice/pgpool2-container,3,14
bettervoice/freeswitch-container,1,45
bfirsh/docker-export-volumes,latest,17
bfirsh/ircd,latest,12
bgruening/galaxy-rna-workbench,latest,67
bgruening/galaxy-chemicaltoolbox,latest,66
bgruening/galaxy-deeptools,latest,62
bgruening/galaxy-rna-workbench-extra,latest,88
bgruening/docker-ipython-notebook,latest,30
bgruening/galaxy-stable,latest,50
bhuisgen/docker-zabbix-coreos,latest,24
bigdatauniversity/spark2,latest,65
bigdatauniversity/spark,latest,86
bigm/youtrack,latest,39
bigstepinc/zeppelin-spark-mesos,latest,84
bigtop/slaves,ubuntu-14,8
bigwednesdayio/bestbuy_mongodb,latest,20
bijukunjummen/gfxd-server,latest,15
bijukunjummen/rabbitmq-server,latest,24
bileto/php-micro-service,latest,3
billryan/gitbook,latest,26
bindadotsystems/apache-openmeetings,latest,21
bingli/kazoo-installer,latest,19
binhex/arch-minidlna,latest,17
binhex/arch-sonarr,latest,19
binhex/arch-deluge,latest,21
binhex/arch-couchpotato,latest,18
binhex/arch-sabnzbd,latest,18
binhex/arch-plex,latest,17
binhex/arch-madsonic,latest,20
binhex/arch-nzbget,latest,19
binhex/arch-sabnzbdvpn,latest,27
binhex/arch-teamspeak,latest,16
binhex/arch-plexpass,latest,17
binhex/arch-get-iplayer,latest,17
binhex/arch-delugevpn,latest,26
binhex/arch-base,latest,9
binhex/arch-sickrage,latest,18
binux/pyspider,latest,20
bioconductor/release_microarray,latest,52
bioconductor/devel_core,latest,42
bioconductor/release_sequencing,latest,48
bioconductor/release_core,latest,34
bioinfo/reporting_suite,latest,7
bios/docker-yourls,latest,24
bios/docker-owncloud,latest,23
bioshrek/hadoop-hdfs-datanode,cdh5,30
bioshrek/hadoop-hdfs-namenode,cdh5,30
biscarch/purescript,latest,18
bitcraze/builder,latest,13
bitnami/redis,latest,25
bitnami/base-ubuntu,14,14
bitnami/apache,latest,24
bitnami/redmine,latest,24
bitnami/nginx,latest,25
bitnami/memcached,latest,25
bitnami/ruby,latest,27
bitnami/mariadb,latest,24
bitnami/php-fpm,latest,25
bitnami/wordpress,latest,17
bitnami/node,latest,27
bitriseio/docker-bitrise-base,latest,58
bitriseio/docker-android,latest,109
bitriseio/android-ndk,latest,121
bitshares/bitshares-2,latest,25
bittorrent/sync,latest,15
bizhao/opentsdb-grafana,latest,22
bketelsen/captainhook,latest,27
blackfire/blackfire,latest,17
blacklabelops/rsnapshotd,latest,18
blacklabelops/virtualbox,latest,7
blacktobacco/ajenti,latest,30
blacktop/elk,latest,38
blacktop/cuckoo,latest,11
blacktop/chopshop,latest,11
blacktop/volatility,latest,18
blacktop/nsrl,latest,8
blacktop/bro,latest,14
blacktop/yara,latest,10
blacktop/rekall,latest,15
blacktop/clamav,latest,11
blakeberg/oracledb,latest,36
blalor/riemann,latest,15
blalor/centos,latest,3
blendle/aws-cli,latest,10
blijblijblij/pentaho,pdi-ce-6,36
blinkmobile/bower,latest,14
blinkmobile/php,5,53
blitznote/debootstrap-i386,16,2
blitznote/debootstrap-amd64,16,2
blowb/uwsgi,python2,27
bluemix/secure-gateway-client,latest,7
bluepeppers/stardog,latest,25
bluszcz/djangocms,latest,36
bluszcz/plone5,latest,31
bn0ir/docker-ocspd,latest,16
bnchdrff/nginx-php5-drupal,latest,54
bnorrin/docker-boom,latest,18
bnosac/cran-mirror,latest,23
bnotions/graphite,latest,24
bobey/docker-gitlab-ci-runner-php,latest,43
bobey/manet,latest,16
bobmaerten/docker-wallabag,latest,41
bobrik/curator,latest,3
bobrik/image-cleaner,latest,4
bobrik/marathon-tcp-haproxy,latest,12
bobrik/zookeeper,latest,14
bobrik/kibana,latest,7
bobrik/syslog-ng,latest,8
bobrik/collectd-mesos,latest,8
bobrik/mesos-slave,latest,17
bobrik/minidlna,latest,6
bobrik/ceph-collectd-graphite,latest,23
bobrik/time-container,latest,15
bobrik/mesos-spark,latest,16
bobrik/radosgw,latest,16
bobrik/logstash-kafka,latest,14
bobrik/kibana4,latest,10
bobrik/collectd-docker,latest,8
bobuss/redis-cluster,latest,18
bodenr/devstack,latest,22
bofm/oracle12c,preinstall,15
boggart/docker-wine-vnc,latest,10
bohan/shadowdocks,latest,7
bonomat/nodejs-hello-world,latest,12
bonswouar/eventhub,latest,20
boolean93/lamp,latest,13
boomfish/railo-engine,latest,37
boomtownroi/git,latest,24
boomtownroi/data-volume,latest,20
boot2docker/boot2docker,latest,63
boran/drupal,latest,39
borja/docker-memcached,latest,10
borja/unixbench,latest,9
borja/authkey,latest,6
borja/wordpress-nosql,latest,33
born2data/anaconda,latest,19
borromeotlhs/mahout,v1,16
borromeotlhs/docker-mahout,latest,30
bowery/python,latest,18
bowery/java,latest,35
bpauli/cq-publisher,latest,32
bprodoehl/piwik,latest,35
bprodoehl/turnserver,latest,21
bradgignac/logspout-cloudwatch,latest,10
bradrydzewski/ruby,2,19
bradrydzewski/postgres,9,8
bradrydzewski/redis,2,4
bradrydzewski/python,pypy,24
bradrydzewski/node,0,20
bradrydzewski/go,1,20
bradrydzewski/couchdb,1,4
bradrydzewski/mongodb,2,5
bradrydzewski/memcached,latest,5
bradrydzewski/php,5,28
bradrydzewski/mysql,5,4
brainscales/neural-networks,software,65
breerly/mesos,latest,28
brendanyounger/image-resizer,latest,23
brice/pentaho-kettle,5,18
brightsolar/nginx-force-ssl,latest,14
brimstone/kali,latest,11
brimstone/gogits,latest,11
broplatform/bro,latest,11
brownster/freepbx12021,latest,39
bruienne/sal,latest,29
bruienne/bsdpy,latest,4
brunoric/hhvm,latest,18
brunswickheads/clefos71-base-s390x,latest,1
brutasse/graphite-api,latest,20
bryanlatten/docker-php,latest,19
bschiffthaler/ngs,latest,106
bsdlp/irssi,latest,35
btobolaski/owncloud,latest,26
buddho/etcd-browser,latest,16
buddycloud/media-server,latest,27
buddycloud/http-api-server,latest,30
